Código proyecto (PROJECT_id),Nombre proyecto (PROJECT_id),Fecha Inicio actual,Fecha término actual,Motivo
PROJECT_0018,PROJECT_0019,12/1/2017,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0034,PROJECT_0035,6/10/2019,8/2/2019,Sin coincidencia en staffing_excel.xlsx
PROJECT_0082,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0083,PROJECT_0084,10/18/2022,1/4/2022,Sin coincidencia en staffing_excel.xlsx
PROJECT_0218,PROJECT_0219,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0222,PROJECT_0223,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0226,PROJECT_0227,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0229,PROJECT_0230,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0232,PROJECT_0233,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0235,PROJECT_0236,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0238,PROJECT_0239,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0241,PROJECT_0219,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0244,PROJECT_0245,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0247,PROJECT_0248,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0250,PROJECT_0251,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0253,PROJECT_0254,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0256,PROJECT_0257,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0259,PROJECT_0260,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0262,PROJECT_0263,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0265,PROJECT_0266,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0268,PROJECT_0269,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0271,PROJECT_0272,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0275,PROJECT_0276,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0278,PROJECT_0279,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0281,PROJECT_0282,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0284,PROJECT_0285,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0287,PROJECT_0288,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0291,PROJECT_0292,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0294,PROJECT_0295,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0297,PROJECT_0298,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0300,PROJECT_0301,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0303,PROJECT_0304,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0306,PROJECT_0307,,,Sin coincidencia en staffing_excel.xlsx
