Código proyecto,Nombre proyecto,Fecha Inicio asignada,Fecha término asignada,Método
FAL02,Coaching a Gerentes y Jefes,2/9/2024,20/9/2024,matriz staffing
PAR04,Modelo de Abastecimiento Corporativo,19/5/2025,12/12/2025,matriz staffing
FSM01,Planificación estratégica a 2030 Fundación Soymás,28/4/2025,12/12/2025,matriz staffing
BHP18,,5/8/2024,10/7/2026,matriz staffing
CAS01,Definiciones estratégicas de innovación en Clínica Alemana,20/1/2025,12/12/2025,matriz staffing
CMPC12,Definiciones estratégicas y apoyo implementación MO Planificación Maderas,5/5/2025,19/12/2025,matriz staffing
CSCR01,,22/12/2025,16/1/2026,matriz staffing
MSB03,Diseño y Ajuste al Modelo Operativo Hidrogeología,12/1/2026,5/6/2026,matriz staffing
WOM01,,11/8/2025,6/3/2026,matriz staffing
EAS05,,5/8/2024,20/9/2024,matriz staffing
COLBUN01,,17/6/2024,9/8/2024,matriz staffing
